iter	MultiRMSE
0	17.71960821
1	17.70588365
2	17.69613423
3	17.68350925
4	17.67316066
5	17.66626202
6	17.65541062
7	17.64422547
8	17.6356196
9	17.62560522
10	17.61558864
11	17.60979194
12	17.60324126
13	17.59705875
14	17.59001258
15	17.58261354
16	17.57565919
17	17.57047369
18	17.56303657
19	17.55814537
20	17.5538187
21	17.54652433
22	17.54150716
23	17.53606772
24	17.5317982
25	17.52561169
26	17.52016959
27	17.51681916
28	17.51289343
29	17.50832989
30	17.50660719
31	17.50307698
32	17.49975751
33	17.49533674
34	17.49280292
35	17.48952461
36	17.48753714
37	17.48606355
38	17.48410658
39	17.48052143
40	17.47750903
41	17.47484014
42	17.47327864
43	17.47109419
44	17.46773493
45	17.46492846
46	17.46332315
47	17.46055665
48	17.45947799
49	17.45839506
50	17.45513367
51	17.45195874
52	17.44913641
53	17.44694508
54	17.44516491
55	17.44433329
56	17.44249328
57	17.44056011
58	17.43958073
59	17.43828949
60	17.43687208
61	17.43596414
62	17.43380407
63	17.4329818
64	17.43157681
65	17.42909344
66	17.427552
67	17.4261343
68	17.42512962
69	17.42447807
70	17.42379742
71	17.42229509
72	17.4216322
73	17.42040989
74	17.41996991
75	17.41879607
76	17.41730093
77	17.41632787
78	17.41628373
79	17.41518048
80	17.41342678
81	17.41232797
82	17.4118099
83	17.41161876
84	17.41138537
85	17.41090428
86	17.40954689
87	17.40900827
88	17.40813557
89	17.4075481
90	17.40709669
91	17.40548725
92	17.40505107
93	17.40397683
94	17.40374319
95	17.4022053
96	17.40219727
97	17.40105557
98	17.39942276
99	17.39841874
100	17.39805988
101	17.39687511
102	17.39618618
103	17.39528144
104	17.39432837
105	17.39406686
106	17.39386406
107	17.39295239
108	17.39226285
109	17.39150149
110	17.39065797
111	17.39033952
112	17.38962072
113	17.38883947
114	17.38769435
115	17.38700022
116	17.38698254
117	17.38613563
118	17.38549431
119	17.38532076
120	17.38530636
121	17.38482555
122	17.3845543
123	17.38412347
124	17.38405224
125	17.38348938
126	17.38247586
127	17.38238845
128	17.38159015
129	17.3811013
130	17.37983759
131	17.37935338
132	17.37873062
133	17.3780217
134	17.37769064
135	17.37722255
136	17.37710622
137	17.37678832
138	17.37635972
139	17.37530196
140	17.37486165
141	17.37386001
142	17.37292499
143	17.37221266
144	17.37203077
145	17.37128199
146	17.37089104
147	17.37075377
148	17.37031762
149	17.36988709
150	17.36915063
151	17.36913552
152	17.36911484
153	17.36882554
154	17.36802647
155	17.36762971
156	17.36735597
157	17.36659152
158	17.3663896
159	17.36584679
160	17.36584267
161	17.36486896
162	17.36444119
163	17.3639488
164	17.36355725
165	17.3629516
166	17.36292459
167	17.36278309
168	17.36267464
169	17.36238848
170	17.36227401
171	17.36222601
172	17.36172463
173	17.3615827
174	17.36070555
175	17.36066697
176	17.36038972
177	17.35993886
178	17.3594706
179	17.3594369
180	17.35934788
181	17.35897299
182	17.35854076
183	17.35849391
184	17.35803159
185	17.3579054
186	17.3578635
187	17.35781743
188	17.35767744
189	17.35757248
190	17.35733929
191	17.35729714
192	17.35708106
193	17.35705113
194	17.35649931
195	17.3561789
196	17.35612718
197	17.35578223
198	17.35574263
199	17.35519819
200	17.35511514
201	17.3550198
202	17.35459259
203	17.35416146
204	17.35399749
205	17.35337484
206	17.35325551
207	17.3529023
208	17.35290135
209	17.35232321
210	17.35194131
211	17.35187974
212	17.35113064
213	17.35111565
214	17.35101304
215	17.35077627
216	17.35012853
217	17.34962637
218	17.34950681
219	17.34903771
220	17.34861718
221	17.34829168
222	17.34827487
223	17.34808277
224	17.34799919
225	17.34796355
226	17.34779959
227	17.34715994
228	17.34642188
229	17.34595903
230	17.34586218
231	17.34551849
232	17.34551611
233	17.34534685
234	17.34531167
235	17.3450767
236	17.34493525
237	17.34433581
238	17.34427148
239	17.34387089
240	17.34331099
241	17.34318845
242	17.34313035
243	17.34285925
244	17.34274546
245	17.34270665
246	17.34253481
247	17.34236494
248	17.3422358
249	17.34202517
250	17.34195277
251	17.3419398
252	17.3415288
253	17.34146747
254	17.34129775
255	17.34098185
256	17.34087732
257	17.34034109
258	17.33987283
259	17.33978961
260	17.33958746
261	17.33947827
262	17.33897429
263	17.33879165
264	17.3387578
265	17.33861425
266	17.33825138
267	17.33791076
268	17.33779156
269	17.3377911
270	17.33772038
271	17.33772008
272	17.33738494
273	17.33710382
274	17.33706264
275	17.33646009
276	17.33645996
277	17.33620501
278	17.335901
279	17.33580432
280	17.33574283
281	17.33543434
282	17.33526689
283	17.33526666
284	17.33477136
285	17.3345181
286	17.33440948
287	17.33404585
288	17.3338942
289	17.33346808
290	17.33311308
291	17.33285167
292	17.33270657
293	17.33238496
294	17.33233789
295	17.33221813
296	17.33206724
297	17.33174301
298	17.33167419
299	17.33154947
300	17.33140753
301	17.33126405
302	17.33110075
303	17.33094578
304	17.33066162
305	17.33047516
306	17.33034592
307	17.3301871
308	17.32974026
309	17.32935654
310	17.32910929
311	17.32909098
312	17.32891763
313	17.32878983
314	17.32850857
315	17.32818443
316	17.32783989
317	17.32761939
318	17.32726982
319	17.32708281
320	17.32704645
321	17.3269579
322	17.32676858
323	17.32657855
324	17.32644235
325	17.32625499
326	17.32610572
327	17.32601177
328	17.32593808
329	17.32569937
330	17.32538294
331	17.32508864
332	17.32486722
333	17.32458618
334	17.32448328
335	17.32438929
336	17.32413783
337	17.3240376
338	17.32389912
339	17.32374268
340	17.32350954
341	17.32341694
342	17.32323957
343	17.32299682
344	17.32273848
345	17.32248575
346	17.32238965
347	17.32206453
348	17.32181107
349	17.32160432
350	17.32147857
351	17.32143105
352	17.32107343
353	17.3210029
354	17.32086822
355	17.32073705
