iter	Passed	Remaining
0	1	7441
1	2	7095
2	3	6175
3	5	6343
4	6	6410
5	7	6122
6	8	6175
7	9	6212
8	11	6234
9	12	6353
10	14	6673
11	16	6666
12	17	6617
13	18	6717
14	20	6671
15	21	6694
16	22	6733
17	24	6668
18	25	6658
19	26	6616
20	27	6541
21	28	6526
22	30	6555
23	31	6548
24	32	6510
25	33	6483
26	35	6475
27	36	6430
28	37	6444
29	38	6444
30	39	6399
31	41	6386
32	42	6365
33	43	6366
34	44	6320
35	45	6317
36	47	6309
37	47	6245
38	48	6204
39	50	6213
40	51	6221
41	53	6297
42	54	6332
43	56	6329
44	57	6333
45	58	6317
46	59	6303
47	61	6308
48	62	6270
49	63	6259
50	64	6262
51	65	6260
52	67	6260
53	68	6257
54	69	6272
55	70	6266
56	72	6271
57	73	6272
58	74	6232
59	75	6230
60	77	6243
61	78	6248
62	79	6240
63	80	6218
64	82	6249
65	83	6251
66	84	6250
67	86	6250
68	87	6247
69	88	6228
70	89	6209
71	90	6209
72	91	6186
73	92	6190
74	94	6205
75	95	6213
76	97	6224
77	98	6221
78	99	6197
79	100	6193
80	102	6204
81	103	6205
82	104	6191
83	105	6164
84	106	6143
85	107	6116
86	108	6120
87	109	6130
88	111	6140
89	112	6124
90	113	6114
91	114	6124
92	115	6100
93	116	6101
94	118	6096
95	119	6104
96	120	6083
97	121	6080
98	123	6095
99	124	6095
100	126	6111
101	127	6113
102	128	6103
103	129	6102
104	130	6099
105	132	6096
106	133	6085
107	134	6099
108	135	6093
109	136	6089
110	138	6098
111	139	6092
112	140	6085
113	142	6098
114	143	6098
115	144	6097
116	145	6075
117	146	6074
118	148	6071
119	149	6064
120	150	6059
121	151	6061
122	152	6058
123	153	6055
124	154	6043
125	156	6046
126	157	6059
127	159	6056
128	160	6062
129	161	6061
130	163	6061
131	164	6061
132	166	6077
133	167	6091
134	168	6088
135	170	6085
136	171	6072
137	172	6067
138	173	6070
139	175	6076
140	176	6067
141	177	6062
142	178	6058
143	180	6075
144	181	6073
145	183	6086
146	184	6086
147	185	6083
148	186	6074
149	187	6075
150	189	6080
151	190	6076
152	191	6063
153	192	6060
154	194	6065
155	195	6070
156	196	6069
157	198	6077
158	199	6084
159	201	6081
160	201	6069
161	206	6180
162	208	6192
163	209	6191
164	211	6192
165	212	6190
166	213	6190
167	214	6183
168	216	6177
169	217	6166
170	218	6161
171	218	6145
172	220	6144
173	221	6142
174	223	6161
175	224	6154
176	225	6146
177	226	6143
178	228	6145
179	230	6161
180	231	6160
181	232	6154
182	233	6153
183	234	6143
184	235	6138
185	236	6127
186	237	6118
187	238	6111
188	239	6103
189	240	6098
190	242	6095
191	242	6084
192	244	6083
193	245	6082
194	246	6082
195	248	6080
196	248	6069
197	250	6068
198	251	6060
199	252	6056
200	253	6053
201	254	6054
202	256	6053
203	257	6051
204	258	6046
205	259	6044
206	260	6039
207	262	6045
208	263	6034
209	264	6035
210	265	6032
211	266	6026
212	268	6023
213	268	6015
214	270	6015
215	271	6015
216	272	6012
217	274	6011
218	275	6009
219	276	6008
220	277	6008
221	279	6007
222	279	5993
223	280	5991
224	282	5988
225	282	5974
226	283	5971
227	285	5978
228	286	5977
229	288	5979
230	289	5972
231	290	5971
232	291	5963
233	292	5958
234	293	5953
235	294	5954
236	296	5955
237	298	5970
238	299	5970
239	301	5975
240	302	5974
241	303	5973
242	304	5964
243	305	5961
244	306	5957
245	307	5951
246	309	5951
247	310	5955
248	312	5953
249	313	5951
250	314	5947
251	315	5938
252	316	5937
253	317	5935
254	318	5935
255	320	5933
256	321	5929
257	322	5928
258	323	5927
259	325	5925
260	326	5928
261	327	5925
262	328	5922
263	330	5921
264	331	5914
265	331	5905
266	333	5905
267	334	5905
268	335	5901
269	336	5893
270	337	5890
271	338	5880
272	339	5881
273	340	5878
274	342	5882
275	343	5881
276	344	5871
277	345	5871
278	346	5868
279	348	5867
280	349	5867
281	350	5868
282	351	5865
283	352	5856
284	353	5855
285	355	5853
286	356	5848
287	357	5849
288	358	5847
289	359	5844
290	361	5844
291	362	5839
292	363	5838
293	364	5836
294	366	5840
295	367	5838
296	368	5836
297	369	5834
298	370	5831
299	372	5828
300	373	5829
301	374	5826
302	375	5825
303	377	5823
304	378	5822
305	379	5819
306	380	5818
307	382	5819
308	383	5818
309	384	5817
310	385	5816
311	386	5807
312	387	5803
313	389	5806
314	390	5809
315	391	5810
316	393	5809
317	394	5809
318	395	5807
319	397	5807
320	398	5811
321	399	5809
322	401	5808
323	402	5808
324	403	5805
325	405	5808
326	406	5814
327	408	5812
328	409	5808
329	410	5806
330	411	5807
331	413	5810
332	414	5812
333	416	5812
334	417	5809
335	418	5806
336	419	5810
337	422	5826
338	423	5825
339	425	5826
340	426	5825
341	427	5828
342	429	5835
343	431	5839
344	432	5837
345	433	5836
346	435	5833
347	436	5837
348	438	5843
349	439	5840
350	440	5837
351	441	5834
352	443	5837
353	444	5839
354	446	5843
355	447	5842
